Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATLANTIA SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0003506190(WC08221),NA,72.23,73.64,77.53,73.1,73.85,67.57,63.38,64.16,63.12,59.47,73.67,75.28,78.15
ATLAS COPCO - TOTAL DEBT % TOTAL CAPITAL/STD,SE0011166610(WC08221),NA,54.51,48.28,40.69,41.47,37.47,39.14,32.53,32.96,31.74,29.29,32.41,30.72,31.51
ATOS SE - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000051732(WC08221),NA,27.67,28.95,25.6,28.06,28.05,12,15.65,24.84,25.33,27.21,40.08,43.34,42.54
ATRESMEDIA CORP - TOTAL DEBT % TOTAL CAPITAL/STD,ES0109427734(WC08221),NA,45.56,40.8,24.94,22.75,28.94,34.89,26.73,24.64,25.74,37.12,43.5,40.43,37.12
ATRIA PLC - TOTAL DEBT % TOTAL CAPITAL/STD,FI0009006548(WC08221),NA,50.77,49.36,49.08,49.26,46.2,44.84,38.52,33.03,34.04,33.22,34.67,34.46,33.2
ATRIUM EUROPEAN REAL - TOTAL DEBT % TOTAL CAPITAL/STD,JE00B3DCF752(WC08221),NA,40.52,23.93,17.01,21.44,20.56,27.26,34.43,34.02,33.56,34.76,41.97,41.17,42.69
ATRIUM LJUNGBERG AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0000191827(WC08221),NA,49.57,50.23,50.03,50.47,53.1,52.97,51.52,48.73,48.27,50.03,47.21,53.84,51.63
ATTENDO AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0007666110(WC08221),NA,NA,NA,107.1,109.38,59.53,68.59,67.21,45.9,41.08,49.37,46.27,67.91,72.71
AUBAY SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000063737(WC08221),NA,20.99,13.23,13.94,16.47,14.74,20.53,20.62,18.33,13.53,13.39,10.45,16.37,11.67
AUMANN AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A2DAM03(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,27.29,31.87,13.14,10.54,9.48,8.4
AURELIUS - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A0JK2A8(WC08221),NA,38.8,24.07,34.67,39.51,32.47,27.65,32.23,40.52,43.56,46.55,48.81,68.43,61.85
AURUBIS AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE0006766504(WC08221),NA,46.5,39.36,34.07,30.81,26.06,19.95,19.4,20.45,19.92,12.93,10.89,10.45,16.98
AUSTEVOLL SEAFOOD - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010073489(WC08221),NA,56.58,45.19,39.9,38.44,38.95,36.78,33.31,34.93,33.57,32.39,27.1,29.1,31.1
AUTOGRILL SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0001137345(WC08221),NA,81.47,79.12,70.43,68.73,66.17,66.02,64.51,58.2,52.88,51.89,55.6,78.31,90.24
AUTO1 GROU - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A2LQ884(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,NA,50.24,50.51,32.33,59.22,98.81
AVANZA BANK - TOTAL DEBT % TOTAL CAPITAL/STD,SE0012454072(WC08221),NA,0,0,0,0,0,0,0,8.08,7.04,6.49,5.72,8.73,5.12
AXA SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000120628(WC08221),NA,34.35,23.61,24.37,24.68,21.31,38.54,31.68,33.54,35.97,34.84,41.45,41.87,41.2
AXACTOR SE - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010840515(WC08221),NA,9.28,3.76,2.7,1.85,2.01,12.56,3.02,1.04,28.89,50.59,69.19,71.25,71.47
AXFOOD AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0006993770(WC08221),NA,31.55,15.71,13.86,17.32,12.32,4.06,2.45,1.65,1.91,2.4,2.43,56.45,55.57
AZELIO AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0011973940(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.62,2.98
AZIMUT HOLDING SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0003261697(WC08221),NA,50.29,37.06,31.1,26.96,22.69,36.46,36.48,33.03,35.61,41.08,39.87,54.71,51.09
"AZKOYEN, S.A. - TOTAL DEBT % TOTAL CAPITAL/STD",ES0112458312(WC08221),NA,55.23,51.04,41.61,42.47,38.18,31.54,27.66,21.28,13.67,7.63,0.36,19.68,17.7
A2A SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0001233417(WC08221),NA,43.56,50.53,46.34,55.75,57.61,56.77,56.06,53.71,53.71,56.65,51.08,49.72,52.21
B&S GROUP SA - TOTAL DEBT % TOTAL CAPITAL/STD,LU1789205884(WC08221),NA,NA,NA,NA,NA,NA,NA,49.24,44.75,49.18,46.76,55.43,58.91,48.96
